EdgeNo	F-Node	T-Node	r	x	b	Switch	SwitchState	maxAmp	type	ID	name	desc
23305	13446	13525	0.00863	0.01943	0.00000	N	-1	441	交流线	SEG_709220242446700	SEG_709220242446700	腾邦物流公用开关房~腾邦物流专用开关房
23306	13511	13439	0.00305	0.00686	0.00000	N	-1	441	交流线	SEG_709220017464300	SEG_709220017464300	中间接头04000200554~保物公用环网柜
23307	13499	13511	0.03926	0.08833	0.00000	N	-1	441	交流线	SEG_709440230502300	SEG_709440230502300	中间接头~中间接头04000200554
23308	13435	13475	0.01778	0.04000	0.00000	N	-1	441	交流线	SEG_709440238573300	SEG_709440238573300	中间接头04000204353~深国际物流公用开关房
23309	13422	13460	0.01232	0.02771	0.00000	N	-1	441	交流线	SEG_709220017414600	SEG_709220017414600	北区中天元公用配电房~04000203301
23310	13502	13480	0.00381	0.00857	0.00000	N	-1	441	交流线	SEG_709220242504100	SEG_709220242504100	腾邦物流专用开关房~腾邦物流专用综合房
23311	13498	13538	0.00508	0.01143	0.00000	N	-1	441	交流线	SEG_709220090862200	SEG_709220090862200	深圳能源物流公用配电房~深圳能源物流专用配电房
23312	13508	13530	0.01657	0.03729	0.00000	N	-1	441	交流线	SEG_709220051565400	SEG_709220051565400	04001802362
23313	13455	13485	0.00508	0.01143	0.00000	N	-1	441	交流线	SEG_709440238337100	SEG_709440238337100	深国际物流公用开关房605开关~深国际物流充电桩专用综合房601开关
23314	13449	13482	0.02832	0.06371	0.00000	N	-1	441	交流线	SEG_709220017265000	SEG_709220017265000	配电线路_电缆700000879825702
24503	13483	16260	0.02800	0.06300	0.00000	N	-1	441	交流线	VSEG_13483_16260	VSEG_13483_16260	F14临田保合线~F14临田保合线
24504	16260	16261	0.00000	0.00000	0.00000	Y	0	0	断路器	VSWITCH16260_16261	VSWITCH16260_16261	F14临田保合线~F14临田保合线-联络开关
24505	16261	13510	0.02800	0.06300	0.00000	N	-1	441	交流线	VSEG_13483_13510	VSEG_13483_13510	F14临田保合线~F14临田保合线
24509	13509	16264	0.02800	0.06300	0.00000	N	-1	441	交流线	VSEG_13509_16264	VSEG_13509_16264	F14临田保合线~F09明铁线
24510	16264	16265	0.00000	0.00000	0.00000	Y	0	0	断路器	VSWITCH16264_16265	VSWITCH16264_16265	F14临田保合线~F09明铁线-联络开关
