nd,gisid,mean_p,std_p,max_p,min_p
NODE_709220400487500,700000206647102,0.2127325093353249,0.16722858682818062,0.9029790000000001,0.000126
NODE_709220226128800,700000885314702,0.4711254199328107,0.22767742651151457,1.037375,0.05274999999999999
NODE_709220400317500,700000885286102,0.471127659574468,0.22768711503434,1.0373999999999999,0.0528
NODE_709440143506000,709220344773000,0.007245985810306199,0.00295531402164853,0.02025,0.0
NODE_709440143585300,700000623119602,0.5433785740948116,0.320408246126745,1.2984,0.1472
NODE_709440143445800,700000602919102,0.0037504143337066076,0.0035988421663150066,0.00816,0.00032
NODE_709220312850400,700000623119802,0.5433774262784622,0.3204079864824064,1.298375,0.14724999999999996
NODE_709220389318700,709220183721300,0.4408254860022396,0.17211239651133928,0.9468269999999999,0.190197
NODE_709220389211000,709220141528400,0.44082511384845086,0.1721148892079288,0.9468,0.19016
NODE_709220389284600,709220214210100,0.44082722097797683,0.17210854023857364,0.94675,0.19025
NODE_709220389197200,709220141540500,0.4408253079507279,0.17211237693089057,0.9468000000000001,0.1902
NODE_709220389222400,709220214209100,0.4408253079507279,0.17211237693089057,0.9468000000000001,0.1902
NODE_709220389287400,709220214212100,0.4408253079507279,0.17211237693089057,0.9468000000000001,0.1902
NODE_709220389320300,709220183720300,0.4408253079507279,0.17211237693089057,0.9468000000000001,0.1902
NODE_709220389285300,709220214211100,0.4408253079507279,0.17211237693089057,0.9468000000000001,0.1902
NODE_709220389209600,709220141527400,0.44082511384845086,0.1721148892079288,0.9468,0.19016
NODE_709220389224700,709220214208100,0.44082530795072783,0.17211237693089054,0.9468,0.19019999999999998
NODE_709220389196500,709220141541500,0.4408253079507279,0.17211237693089057,0.9468000000000001,0.1902
NODE_709220387496300,709220337752500,0.025417631019036952,0.02857495162535762,0.06142500000000001,0.0009135
NODE_709220387516400,700000520577402,0.02541876819708847,0.028574348521071796,0.061439999999999995,0.0009119999999999999
NODE_709220387506400,700000600150402,0.004899805752708255,0.005355588244819945,0.01376,0.00037
NODE_709220357844400,700000112184002,0.3714070082120194,0.20318808014523201,0.828125,0.1395
NODE_709440278315400,709440278314600,0.3404533233756535,0.3650855161157218,1.5812,0.0048
